Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (GHz),FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,Release Year,Release Month,Type_enc,Vendor_enc,Foundry_Fujitsu,Foundry_GlobalFoundries,Foundry_IBM,Foundry_Intel,Foundry_NEC,Foundry_Renesas,Foundry_Samsung,Foundry_Sony,Foundry_TSMC,Foundry_UMC,Foundry_Unknown,Transistors (million)_log,Die Size (mm^2)_log,TDP (W)_log,FP16 GFLOPS_log,FP32 GFLOPS_log,FP64 GFLOPS_log
130.0,68.0,80.0,37.0,2083.0,,,,2002.0,8.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.394449154672439,4.23410650459726,,,
130.0,68.0,80.0,37.0,2167.0,,,,2002.0,10.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.394449154672439,4.23410650459726,,,
130.0,74.0,80.0,37.0,2250.0,,,,2002.0,10.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.394449154672439,4.31748811353631,,,
130.0,45.0,101.0,63.0,1800.0,,,,2002.0,11.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.1588830833596715,4.624972813284271,3.828641396489095,,,
130.0,73.0,146.0,55.0,2000.0,,,,2002.0,9.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.990432586778736,4.30406509320417,,,
130.0,73.0,146.0,55.0,2000.0,,,,2002.0,9.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.990432586778736,4.30406509320417,,,
130.0,73.0,146.0,55.0,2100.0,,,,2002.0,11.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.990432586778736,4.30406509320417,,,
130.0,73.0,146.0,55.0,2200.0,,,,2002.0,11.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.990432586778736,4.30406509320417,,,
130.0,92.0,146.0,125.0,2000.0,,,,2002.0,1.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.836281906951478,4.990432586778736,4.532599493153256,,,
130.0,92.0,146.0,55.0,2200.0,,,,2002.0,1.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.990432586778736,4.532599493153256,,,
130.0,110.0,146.0,55.0,2261.0,,,,2002.0,1.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.990432586778736,4.709530201312334,,,
130.0,110.0,146.0,55.0,2400.0,,,,2002.0,4.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.990432586778736,4.709530201312334,,,
130.0,92.0,146.0,55.0,2400.0,,,,2002.0,5.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.990432586778736,4.532599493153256,,,
130.0,110.0,146.0,55.0,2527.0,,,,2002.0,5.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.990432586778736,4.709530201312334,,,
130.0,92.0,146.0,55.0,2600.0,,,,2002.0,8.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.990432586778736,4.532599493153256,,,
130.0,110.0,146.0,55.0,2660.0,,,,2002.0,8.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.990432586778736,4.709530201312334,,,
130.0,110.0,146.0,55.0,2793.0,,,,2002.0,8.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.990432586778736,4.709530201312334,,,
130.0,21.0,131.0,55.0,1400.0,,,,2002.0,4.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.882801922586371,3.091042453358316,,,
130.0,26.0,131.0,55.0,1500.0,,,,2002.0,4.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.882801922586371,3.295836866004329,,,
130.0,30.0,131.0,55.0,1600.0,,,,2002.0,3.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.882801922586371,3.4339872044851463,,,
130.0,30.0,131.0,55.0,1700.0,,,,2002.0,3.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.882801922586371,3.4339872044851463,,,
130.0,30.0,131.0,55.0,1800.0,,,,2002.0,4.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.882801922586371,3.4339872044851463,,,
130.0,32.0,131.0,55.0,1900.0,,,,2002.0,6.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.882801922586371,3.4965075614664802,,,
130.0,32.0,131.0,55.0,2000.0,,,,2002.0,6.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.882801922586371,3.4965075614664802,,,
130.0,35.0,131.0,55.0,2200.0,,,,2002.0,9.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.882801922586371,3.58351893845611,,,
130.0,32.0,80.0,44.0,1400.0,,,,2002.0,1.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.8066624897703196,4.394449154672439,3.4965075614664802,,,
130.0,89.0,217.0,55.0,2000.0,,,,2002.0,2.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,5.384495062789089,4.499809670330265,,,
130.0,89.0,217.0,55.0,2394.0,,,,2002.0,4.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,5.384495062789089,4.499809670330265,,,
130.0,89.0,217.0,55.0,2660.0,,,,2002.0,11.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,5.384495062789089,4.499809670330265,,,
130.0,89.0,217.0,55.0,2790.0,,,,2002.0,9.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,5.384495062789089,4.499809670330265,,,
130.0,10.0,56.0,16.0,1000.0,,,,2002.0,6.0,0,3.0,0,0,0,0,0,0,0,0,1,0,0,2.833213344056216,4.04305126783455,2.3978952727983707,,,
130.0,10.0,56.0,16.0,1000.0,,,,2002.0,6.0,0,3.0,0,0,0,0,0,0,0,0,1,0,0,2.833213344056216,4.04305126783455,2.3978952727983707,,,
