Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (GHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,Release Year,Release Month
CPU,2004-06-01,130.0,89.0,193.0,106.0,2400.0,Unknown,AMD,,,,2004.0,6.0
CPU,2004-06-01,130.0,89.0,193.0,105.0,2400.0,Unknown,AMD,,,,2004.0,6.0
CPU,2004-06-01,130.0,89.0,193.0,106.0,2400.0,Unknown,AMD,,,,2004.0,6.0
CPU,2004-06-01,130.0,89.0,144.0,69.0,2400.0,Unknown,AMD,,,,2004.0,6.0
CPU,2004-10-19,130.0,89.0,193.0,106.0,2400.0,Unknown,AMD,,,,2004.0,10.0
CPU,2004-10-19,90.0,89.0,115.0,105.0,2400.0,Unknown,AMD,,,,2004.0,10.0
CPU,2004-06-01,130.0,89.0,193.0,105.0,2400.0,Unknown,AMD,,,,2004.0,6.0
CPU,2004-10-10,90.0,104.0,115.0,114.0,2600.0,Unknown,AMD,,,,2004.0,10.0
CPU,2004-10-10,130.0,104.0,193.0,105.0,2600.0,Unknown,AMD,,,,2004.0,10.0
CPU,2004-11-19,130.0,55.0,101.0,63.0,1917.0,Unknown,AMD,,,,2004.0,11.0
CPU,2004-12-29,130.0,55.0,101.0,63.0,2083.0,Unknown,AMD,,,,2004.0,12.0
CPU,2004-07-24,130.0,27.0,101.0,63.0,1667.0,Unknown,AMD,,,,2004.0,7.0
CPU,2004-07-13,130.0,55.0,101.0,63.0,2133.0,Unknown,AMD,,,,2004.0,7.0
CPU,2004-07-13,130.0,72.0,101.0,63.0,2133.0,Unknown,AMD,,,,2004.0,7.0
CPU,2004-08-01,130.0,82.0,193.0,106.0,1600.0,Unknown,AMD,,,,2004.0,8.0
CPU,2004-08-01,130.0,62.0,193.0,106.0,1800.0,Unknown,AMD,,,,2004.0,8.0
